quantity,count,maximum,median,minimum,standard_deviation
H_over_R,24,0.5005024311982196,0.5002981121015035,0.5000991139695796,0.00015382584135755617
L_u_over_H,24,1.7671667315984618,1.629349028284277,1.2711627684555549,0.16924509095084078
Mach_eff,24,0.49990086764107583,0.49970172187697137,0.49949721263310437,0.0001539694864081733
Sigma,24,-0.9999979071675144,-0.9999993874496365,-0.9999999606783558,5.927905386816674e-07
Sigma_divergence_power_of_deltaR,24,0.5645691413422308,0.47004321285902295,0.44098298071396846,0.041901484705539595
annulus_mass_per_logu_g,24,1.2676583676602873,1.12964921469174,0.7712621166711815,0.16939111229720316
annulus_mass_power_of_deltaR,24,0.5590170192860315,0.529956787140977,0.4354308586577692,0.0419014847055396
p_R,24,2.2676586155322016,2.129649332146135,1.77126212934792,0.16939114548211937
rho,24,-1.5000989786257815,-1.5002969789627094,-1.5004996385517555,0.00015300845439133665
t_layer_over_t_dyn,24,1.2676589698495841,1.1296495016561598,0.7712621479801842,0.16939127936363282
tau_radial,24,0.7671678760793599,0.629349576949515,0.27116282899759075,0.16924558381581103
tau_vertical,24,-0.9999979071675117,-0.9999993874496356,-0.9999999606783554,5.9279053865528e-07
toomre_Q,24,1.500501750517061,1.5002979634167655,1.5000990876686626,0.000153860385189364
