sha256,bytes_each,copies,wasted_bytes,paths
0babefd14114b39da5b7a70b424ec38bf85b69ee7ad4bde98b1f37d6f84902f3,227287,5,909148,outputs/tables/m5_eta_lobatto_homotopy_refslopes_chi0p01_eval_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_homotopy_refslopes_chi0p03_eval_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_homotopy_refslopes_chi0p05_eval_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_residual_homotopy_chi0_eval_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_residual_homotopy_chi0p01_eval_98p125_N164_profiles.json
746bfbc1658ec6ff66874cd6724890f8d02b7784af3cbfd66e3339f1eea579bc,211312,5,845248,outputs/tables/m5_local_mdot_eta100_source_element_consistency_audit_N164_profiles.json | outputs/tables/m5_source_interface_energy_audit_eta100_N164_seed_profiles.json | outputs/tables/m5_source_interface_energy_rows_eta100_N164_gamma1_seed_profiles.json | outputs/tables/m5_source_interface_hs_energy_rows_eta100_N164_seed_profiles.json | outputs/tables/m5_source_interface_massonly_eta100_N164_seed_profiles.json
6e488af60a6e877b82de5ce67e17ec306d704cdb32deafd39307fa5b1ed4365b,335363,3,670726,outputs/tables/m5_eta_global_f_hsfv_production_corehalo8_full_guarded_nfev2_fromlocal_98p125_N164_profiles.json | outputs/tables/m5_eta_global_f_hsfv_production_corehalo8_full_linesearch_exporttrials_nfev2_fromlocal_98p125_N164_profiles.json | outputs/tables/m5_eta_global_f_hsfv_production_corehalo8_full_linesearch_nfev2_fromlocal_98p125_N164_profiles.json
e7df526eeb00ea185345814cd5526fcc23f22837ed7ff3451166460c6f3eaecc,133504,6,667520,outputs/tables/m5_eta_broad_conservative_block_diag_98p125_N164_profiles.json | outputs/tables/m5_eta_broad_cumulative_diag_98p125_N164_profiles.json | outputs/tables/m5_eta_broad_mass_eval_98p125_N164_profiles.json | outputs/tables/m5_eta_broad_mass_increment_eval2_98p125_N164_profiles.json | outputs/tables/m5_eta_broad_mass_increment_eval3_98p125_N164_profiles.json | outputs/tables/m5_eta_broad_mass_increment_eval_98p125_N164_profiles.json
80a889eb41829da7bbbe749e01da373c9d2f41ef7383667319d9c4611ffd2bc9,132964,6,664820,outputs/tables/m5_source_band_hs_oldsrc_w1em5_aux_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_oldsrc_w1em5_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_oldsrc_w1em5_fast_eta100_N164_profiles.json | outputs/tables/m5_source_band_production_replace_eval_from_hs_w1em5_eta100_N164_profiles.json | outputs/tables/m5_source_band_production_replace_eval_hsseed_eta100_N164_profiles.json | outputs/tables/m5_source_band_production_replace_eval_hsseed_midpoint_eta100_N164_profiles.json
932bc50c9a07fded6cfe0ee13a6f282993beaa562e7018d47165ace14fc379ca,205578,4,616734,outputs/tables/m5_local_mdot_eta90_source_element_refine2_blockmass_eta90_profiles.json | outputs/tables/m5_local_mdot_eta90_source_element_refine2_buffer_eta90_profiles.json | outputs/tables/m5_local_mdot_eta90_source_element_refine2_domain_eta90_profiles.json | outputs/tables/m5_local_mdot_eta90_source_element_refine2_seed_eta90_profiles.json
b5acf7e3126cbb838e3b5fe02c9b09cf8d43cbca27310b6478d1a9c561f7a847,546215,2,546215,outputs/tables/m5_eta_phase_critical_globalization_98p125_N164_profiles.json | outputs/tables/m5_eta_phase_critical_jacobian_audit_98p125_N164_profiles.json
1f7f48451a7d0d0b5e92f9065bedac5ded8e961a6dcd58554304a36c1a720fa0,122402,5,489608,outputs/tables/m5_local_mdot_eta_audit_N152_closure_entropy_slope_profiles.json | outputs/tables/m5_local_mdot_eta_audit_N152_closure_full_slope_profiles.json | outputs/tables/m5_local_mdot_eta_audit_N152_closure_local_energy_profiles.json | outputs/tables/m5_local_mdot_eta_audit_N152_closure_robin_chi0p5_profiles.json | outputs/tables/m5_local_mdot_eta_audit_N152_seed_differential_profiles.json
9b2f6e5c148b07e60418d761c2ca30c6139ed4f13227ecf947e1bbae64e91110,487198,2,487198,outputs/tables/m5_source_interface_massonly_eta90_N201_seed_nativeparams_profiles.json | outputs/tables/m5_source_interface_massonly_eta90_N201_seed_profiles.json
0c06031d60d2b27e265e4098cd027200b7fe1dc7b9c12b1c68e15d7bd523aff0,227343,3,454686,outputs/tables/m5_eta_lobatto_homotopy_chi0p01_eval_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_homotopy_chi0p03_eval_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_homotopy_chi0p05_eval_98p125_N164_profiles.json
