R_final_rg,R_limit_rg,accepted_steps,anchor_R_rg,anchor_logu,complete,dt_initial,label,max_homogeneous,p_R_decay_rate,p_R_final,phase_homotopy_accepted,reached_logu,rejected_steps,shape,source_cumulative_at_final,source_inner_edge_rg,tangent_initial,target_logu,width_factor
225.52126458240934,225.52126527823924,268,194.57856333811728,12.65476236056361,True,0.02,compact_c2,7.792671122725375e-09,1.998331126549926,6.165709213193675e-09,True,6.0,0,compact_c2,0.0040376473086898255,221.5479231327926,"{'accepted': True, 'max': 7.502074675215472e-13, 'message': '`gtol` termination condition is satisfied.', 'nfev': 3, 'status': 1}",6.0,1.0
225.52041721513572,225.52041789168547,268,194.57856333811728,12.65476236056361,True,0.02,compact_c4,5.5182007767017075e-09,2.0337689142524393,6.101202986086403e-09,True,6.0,0,compact_c4,0.0005273222058744855,221.5479231327926,"{'accepted': True, 'max': 6.16371879631993e-15, 'message': '`gtol` termination condition is satisfied.', 'nfev': 4, 'status': 1}",6.0,1.0
225.52266853831821,225.52266923274908,268,194.57856333811728,12.65476236056361,True,0.02,compact_cinf,4.836761221166256e-09,2.028667373968758,6.246685673187216e-09,True,6.0,0,compact_cinf,0.01034457206210902,221.5479231327926,"{'accepted': True, 'max': 5.727639450868439e-13, 'message': '`gtol` termination condition is satisfied.', 'nfev': 3, 'status': 1}",6.0,1.0
225.52251433399124,225.52251509241322,267,194.57856333811728,12.65476236056361,True,0.02,compact_c2_wide,4.893947996870947e-09,2.0237016244155632,6.805616521630823e-09,True,6.0,0,compact_c2,0.02737262710630947,217.16098032863027,"{'accepted': True, 'max': 1.4968067549956186e-15, 'message': '`gtol` termination condition is satisfied.', 'nfev': 4, 'status': 1}",6.0,1.25
